arquivo,titulo,subtitulo,data_publicacao,data_atualizacao,tags,dateline,nome_operacao_encontrado,identidade_canonica,classificacao,crimes_mais_presentes,modus_operandi,fonte_classificacao,confianca_regex
pf-combate-disseminacao-de-conteudo-pornografico-infantojuvenil-em-sao-paulo-f3da9f80.md,PF combate disseminação de conteúdo pornográfico infantojuvenil em São Paulo,Operação Lótus prende homem em flagrante durante o cumprimento do mandado de busca,19/09/2020,10/11/2022,"[""Operação PF"", ""Mandado de busca"", ""Flagrante"", ""Pornografia infantil""]",,Lotus,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao""]",regex,0.95
pf-combate-disseminacao-de-ideologias-nazistas-b14c6c02.md,PF combate disseminação de ideologias nazistas,"Durante a ação, foi cumprido um mandado de busca e apreensão na cidade de Almirante Tamandaré/PR, expedido pela 13ª Vara Federal de Curitiba",18/12/2024,,"[""Paraná"", ""Operação PF"", ""São Paulo""]",Curitiba/PR.,Trilha,crime_apologia_nazismo,Por crime,"[""apologia_nazismo""]","[""busca_apreensao"", ""comercializacao""]",regex,0.95
pf-combate-disseminacao-de-imagens-contendo-exploracao-sexual-de-criancas-e-adolescentes-pela-internet-a0893923.md,PF combate disseminação de imagens contendo exploração sexual de crianças e adolescentes pela internet,As investigações tiveram início a partir de denúncias de integrantes de grupos de aplicativo de mensagens,31/10/2021,03/02/2023,"[""Operação PF"", ""Pornografia infantil""]",,P2P ESPURIO,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-imagens-e-videos-de-exploracao-sexual-infanto-juvenil-pela-internet-6aa943d6.md,PF combate disseminação de imagens e vídeos de exploração sexual infanto juvenil pela internet,Um homem foi preso em flagrante durante os cumprimento dos mandados de busca,21/02/2020,23/01/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil"", ""Flagrante""]",Porto Velho/RO,,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""prisao"", ""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-imagens-pornograficas-envolvendo-criancas-e-adolescentes-0c1fb521.md,PF combate disseminação de imagens pornográficas envolvendo crianças e adolescentes,"Polícia Federal deflagra Operação Lágrimas do Amarante, no Rio de Janeiro",29/11/2020,09/11/2022,"[""Operação PF"", ""Rio de Janeiro"", ""Destaque"", ""Polícia Federal""]",,Lagrimas,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca"", ""crimes_ciberneticos_financeiros""]","[""busca_apreensao""]",regex,0.95
pf-combate-disseminacao-de-pornografia-com-conteudo-infantojuvenil-16458c86.md,PF combate disseminação de pornografia com conteúdo infantojuvenil,Operação Unplugged prende um homem em flagrante durante o cumprimento dos mandados de busca e apreensão,29/09/2020,10/11/2022,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Unplugged,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca"", ""crimes_odio_discriminacao""]","[""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-pornografia-com-conteudo-infantojuvenil-em-criciuma-sc-0b5bef18.md,PF combate disseminação de pornografia com conteúdo infantojuvenil em Criciúma/SC,Suspeito utilizava softwares para compartilhamento dos arquivos com usuários do mundo todo,30/10/2020,09/11/2022,"[""Operação PF"", ""Pornografia infantil""]",Delegacia de Polícia Federal em Criciúma/SC,,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]",[],regex,0.95
pf-combate-disseminacao-de-pornografia-com-conteudo-infantojuvenil-no-espirito-santo-e0c82b10.md,PF combate disseminação de pornografia com conteúdo infantojuvenil no Espírito Santo,Operação Prostasia cumpre dois mandados de busca e apreensão na Grande Vitória,29/09/2020,10/11/2022,"[""Operação PF"", ""Destaque"", ""Pornografia infantojuvenil""]",,Prostasia,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantil-a9187a1a.md,PF combate disseminação de pornografia infantil,Operação Nilo prende um homem em flagrante,20/05/2020,23/01/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Nilo,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantil-na-internet-1-8e21517a.md,PF combate disseminação de pornografia infantil na internet,"PF deflagra nova fase da Operação P2J, em Tubarão/SC.",31/12/2021,03/02/2023,"[""Polícia Federal"", ""Operação PF"", ""Santa Catarina"", ""crimes cibernéticos"", ""Destaque""]",Criciúma/SC,P2J,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca"", ""crimes_ciberneticos_financeiros"", ""crimes_odio_discriminacao""]","[""busca_apreensao"", ""cumprimento_mandado"", ""atuacao_online"", ""resgate_vitimas""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantil-no-municipio-de-camocim-ce-b9e0ceda.md,PF combate disseminação de pornografia infantil no município de Camocim/CE,Suspeito foi preso em flagrante,31/10/2021,03/02/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Protection,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantil-pela-internet-1-1552d621.md,Operação Arquivo Proibido combate disseminação de pornografia infantil pela internet,Foram cumpridos dois mandados de busca na capital cearense,30/06/2022,03/11/2022,"[""Operação PF"", ""Pornografia infantil"", ""Mandados de busca""]",,Arquivo Proibido,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantil-pela-internet-26848edd.md,PF combate disseminação de pornografia infantil pela internet,Operação Salvaguarda II investiga suspeitos de usar programa de computadores para troca de imagens pornográficas de crianças e adolescentes,27/02/2019,07/11/2022,"[""Operação PF"", ""Pornografia infantil""]",,Salvaguarda II,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantil-pela-internet-no-rio-de-janeiro-21e31be3.md,PF combate disseminação de pornografia infantil pela internet no Rio de Janeiro,Operação Abuso de Confiança prende em flagrante homem na posse de diversos arquivos contendo cenas de violência sexual contra crianças,30/07/2020,24/01/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Abuso,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao"", ""atuacao_online"", ""resgate_vitimas""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infanto-juvenil-490cbc58.md,PF combate disseminação de pornografia infantojuvenil,Operação Janela Anônima prende dois homens em flagrante,30/06/2022,03/11/2022,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",Comunicação Social da Polícia Federal em Montes Claros,Janela Anonima,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]",[],regex,0.95
pf-combate-disseminacao-de-pornografia-infantojuvenil-na-serra-gaucha-76ac5b2a.md,PF combate disseminação de pornografia infantojuvenil na Serra Gaúcha,Operação Levana cumpre três mandados de busca em Caxias do Sul e três em Nova Prata,30/10/2020,09/11/2022,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Levana,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-de-pornografia-infantojuvenil-pela-internet-61424205.md,PF combate disseminação de pornografia infantojuvenil pela internet,"Operação HOKIOI teve origem em uma investigação iniciada na Itália, denominada Operação La Luna",27/02/2021,24/01/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantojuvenil""]",,HOKIOI,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-e-o-compartilhamento-de-pornografia-infantil-na-internet-41226b68.md,PF combate disseminação e o compartilhamento de pornografia infantil na internet,Operação Guardiões da Inocência II cumpre cinco mandados de busca em cidades de Goiás,29/11/2020,07/11/2022,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",Comunicação Social da Polícia Federal em Goiás,Guardioes,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-disseminacao-pela-internet-de-pornografia-infantojuvenil-44e9a67d.md,PF combate disseminação pela internet de pornografia infantojuvenil,Um homem foi preso em flagante,16/10/2019,01/11/2022,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Pesadelo,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-distribuicao-de-cigarros-ilegais-no-parana-fd9bffa9.md,PF combate distribuição de cigarros ilegais no Paraná,Um homem foi preso em flagrante durante o cumprimento dos mandados de busca da Operação Antifumo,30/10/2020,09/11/2022,"[""Operação PF"", ""Destaque"", ""Cigarros contrabandeados""]",,Antifumo Ponta Grossa,crime_contrabando_descaminho,Por crime,"[""contrabando_descaminho"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""desarticulacao_rede""]",regex,0.95
pf-combate-distribuicao-de-moeda-falsa-na-fronteira-sul-do-rio-grande-do-sul-dd89f00d.md,PF combate distribuição de moeda falsa na fronteira sul do Rio Grande do Sul,Operação Quentake cumpre sete mandados em Rio Grande/RS,30/12/2020,07/11/2022,"[""Operação PF"", ""Destaque"", ""Moeda falsa""]",,Quentake,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""crimes_armas"", ""falsificacoes"", ""organizacao_criminosa""]","[""busca_apreensao"", ""fronteira_transnacional"", ""desarticulacao_rede""]",regex,0.95
pf-combate-distribuicao-e-venda-ilegal-de-cigarros-no-rn-e2d50ec6.md,PF combate distribuição e venda ilegal de cigarros no RN,"Durante as buscas foram apreendidos veículos, caixas de cigarros, além de telefones, computadores, notebooks, documentos contábeis e agendas",13/06/2024,,"[""Operação PF"", ""Polícia Federal"", ""Rio Grande do Norte""]",Natal/RN,Retomada,crime_contrabando_descaminho,Por crime,"[""contrabando_descaminho""]","[""busca_apreensao"", ""cooperacao_interagencias"", ""comercializacao""]",regex,0.87
pf-combate-divulgacao-de-imagens-de-abuso-sexual-infantil-no-es-11aa1f03.md,PF combate divulgação de imagens de abuso sexual infantil no ES,Foi cumprido um mandado de busca e apreensão.,22/10/2025,,"[""Operação PF"", ""abuso sexual infantil"", ""Espírito Santo""]",Vila Velha/ES.,Tueris II,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online"", ""resgate_vitimas""]",regex,0.95
pf-combate-divulgacao-de-material-de-abuso-sexual-infantojuvenil-no-es-b625ab3e.md,PF combate divulgação de material de abuso sexual infantojuvenil no ES,Foi cumprido um mandado de busca e apreensão.,20/09/2024,,"[""Operação PF"", ""abuso sexual infantil"", ""Espírito Santo""]",Vila Velha/ES.,Atena II,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-divulgacao-de-pornografia-infantil-em-rede-social-8f20d67c.md,PF combate divulgação de pornografia infantil em rede social,Operação Mega prende um homem em flagrante,30/05/2019,07/11/2022,"[""Operação PF"", ""Pornografia infantil"", ""São Paulo/SP"", ""Flagrante"", ""Destaque""]",,Mega,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-divulgacao-de-pornografia-infantil-pela-internet-9b34c38d.md,PF combate divulgação de pornografia infantil pela internet,Operação Jizô V prende três homens em flagrante por armazenamento de material com conteúdo pornográfico infantil,16/06/2020,23/01/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Jizo V,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca"", ""crimes_odio_discriminacao""]","[""busca_apreensao"", ""prisao"", ""resgate_vitimas"", ""cumprimento_mandado"", ""atuacao_online""]",regex,0.95
pf-combate-divulgacao-de-pornografia-infantil-pela-internet-em-pernambuco-2862794a.md,PF combate divulgação de pornografia infantil pela internet em Pernambuco,Três mandados de busca estão sendo cumpridos em bairros da capital,30/06/2022,03/11/2022,"[""Operação PF"", ""Pornografia infantil"", ""Mandados de busca""]",,Help VII,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-divulgacao-de-pornografia-infanto-juvenil-pela-internet-21eea077.md,PF combate divulgação de pornografia infanto-juvenil pela internet,PF deflagra Operação Arquivo Proibido VI para desarticular esquema de distribuição via internet de arquivos contendo imagens de crianças e adolescentes,13/03/2020,23/01/2023,"[""Operação PF"", ""Pornografia infantil"", ""disseminação de imagens e vídeos"", ""rede mundial de computadores"", ""Ceará""]",Comunicação Social da Polícia Federal no Ceará,Arquivo Proibido VI,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""atuacao_online"", ""desarticulacao_rede""]",regex,0.95
pf-combate-divulgacao-de-pornografia-infantojuvenil-pela-internet-270733cb.md,PF combate divulgação de pornografia infantojuvenil pela internet,"No ano de 2020, foram cumpridos 33 mandados de busca no âmbito da Operação Arquivo Proibido",30/01/2021,24/01/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Arquivo Proibido Fortaleza,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-combate-em-mg-o-envio-ilegal-de-migrantes-para-os-estados-unidos-84eaeba1.md,"PF combate o envio ilegal de migrantes para os Estados Unidos, em MG","Foi cumprido um mandado de prisão preventiva e apreendidos celulares, veículo e documentos diversos",11/03/2026,11/03/2026,"[""Operação PF"", ""Migração ilegal"", ""Minas Gerais""]",Ipatinga/MG.,Elo Oculto,crime_exploracao_pessoas,Por crime,"[""exploracao_pessoas"", ""ameaca"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao""]",regex,0.95
pf-combate-esquema-criminoso-de-fraudes-a-fundos-de-pensao-13fa8c0d.md,PF combate esquema criminoso de fraudes a fundos de pensão,Operação Grand Bazaar investiga pagamentos de vantagens indevidas a parlamentar,21/10/2019,01/11/2022,"[""Operação PF"", ""Destaque"", ""fraude a fundos de pensão""]",Divisão de Comunicação Social,Grand Bazaar,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio""]","[""desarticulacao_rede""]",regex,0.95
pf-combate-esquema-criminoso-de-madeireiras-no-amapa-ca082a39.md,PF combate esquema criminoso de madeireiras no Amapá,Operação Usurpação desarticula grupo criminoso especializado em comercialização ilegal de madeiras,30/08/2020,24/01/2023,"[""Operação PF"", ""Amapá"", ""comercialização ilegal de madeiras"", ""crédito florestal"", ""Destaque"", ""Polícia Federal""]",,Usurpacao,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""lavagem_dinheiro"", ""falsificacoes"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede"", ""comercializacao"", ""prisao"", ""cooperacao_interagencias""]",regex,0.95
pf-combate-esquema-de-captacao-ilicita-de-recursos-eff298c7.md,PF combate esquema de captação ilícita de recursos,Grupo investigado prometia rendimentos altos,05/02/2026,05/02/2026,"[""Espírito Santo"", ""Operação PF""]",São Mateus/ES,,crimes_armas,Por crime,"[""crimes_armas"", ""crimes_sistema_financeiro"", ""organizacao_criminosa""]","[""busca_apreensao"", ""resgate_vitimas"", ""prisao"", ""desarticulacao_rede"", ""combate_financeiro""]",regex,0.95
pf-combate-esquema-de-comercializacao-e-desmatamento-ilegais-de-terras-da-uniao-no-acre-b35df80e.md,PF combate esquema de comercialização e desmatamento ilegais de terras da União no Acre,PF deflagra Operação Tayassu para desarticular grupo criminoso responsável por invasão e comercialização de terras públicas.,30/09/2021,03/02/2023,"[""Polícia Federal"", ""Operação PF"", ""Destaque"", ""Acre"", ""desmatamento"", ""comercialização ilegal de terras da União""]",Rio Branco/AC -,Tayassu,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""organizacao_criminosa""]","[""busca_apreensao"", ""comercializacao"", ""exames_periciais"", ""bloqueio_bens"", ""cooperacao_interagencias"", ""desarticulacao_rede""]",regex,0.95
pf-combate-esquema-de-corrupcao-e-contrabando-de-agrotoxicos-na-fronteira-do-parana-7d007bde.md,PF combate esquema de corrupção e contrabando de agrotóxicos na fronteira do Paraná,"Na ação, foram cumpridos quatro mandados de prisão e dez mandados de busca e apreensão, além do bloqueio judicial e do sequestro de bens e empresas vinculados aos investigados",29/01/2026,29/01/2026,"[""Operação PF"", ""Polícia Federal"", ""Paraná""]",Guaíra/PR.,Migalhas,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""contrabando_descaminho"", ""crimes_armas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens"", ""cooperacao_interagencias"", ""fronteira_transnacional"", ""desarticulacao_rede""]",regex,0.95
pf-combate-esquema-de-corrupcao-e-fraude-eleitoral-no-maranhao-c1c8d558.md,PF combate esquema de corrupção e fraude eleitoral no Maranhão,Operação Privillegium apura inserção de dados falsos no sistema da Justiça Eleitoral e pagamentos ilícitos a ex-servidor do TRE/MA,14/11/2025,,"[""Operação PF"", ""Maranhão""]",São Luís/MA.,Privillegium,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
pf-combate-esquema-de-corrupcao-eleitoral-em-divina-pastora-se-75fc660e.md,PF combate esquema de corrupção eleitoral em Divina Pastora/SE,Operação Voto Livre investiga negociação de votos nas eleições municipais de 2024,25/02/2026,25/02/2026,"[""Operação PF"", ""Destaque"", ""Sergipe""]",Aracaju/SE.,Voto Livre,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""crime_eleitoral""]","[""busca_apreensao""]",regex,0.95
pf-combate-esquema-de-corrupcao-em-convenios-publicos-em-sao-paulo-2c1d49d1.md,PF combate esquema de corrupção em convênios públicos em São Paulo,Foram cumpridos três mandados de busca e apreensão na cidade de Sorocaba,14/05/2024,,"[""São Paulo"", ""Operação PF""]",Sorocaba/SP.,SEPSIS,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro""]","[""busca_apreensao""]",regex,0.95
pf-combate-esquema-de-corrupcao-no-rio-grande-do-norte-46412f84.md,PF combate esquema de corrupção no Rio Grande do Norte,"Estão sendo cumpridos sete mandados de busca e apreensão, além do afastamento cautelar de um servidor público investigado",23/08/2024,23/08/2024,"[""Operação PF"", ""Rio Grande do Norte"", ""Corrupção""]",Natal/RN.,Hoplias,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""organizacao_criminosa""]","[""busca_apreensao""]",regex,0.95
pf-combate-esquema-de-desvios-de-recursos-publicos-e-fraude-a-licitacao-no-amazonas-46d25d23.md,PF combate esquema de desvios de recursos públicos e fraude à licitação no Amazonas,"Durante cumprimento cinco mandados de busca e apreensão em Manaus e em Rio Preto da Eva, duas pessoas foram presas em flagrante por posse ilegal de arma de fogo",28/09/2023,28/09/2023,"[""AM"", ""Operação PF"", ""Amazonas""]",Manaus/AM.,Emergencia 192,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""crimes_armas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""combate_financeiro""]",regex,0.95
pf-combate-esquema-de-fraudes-bancarias-no-piaui-dd58c596.md,PF combate esquema de fraudes bancárias no Piauí,Operação Caronte II apura práticas de fraudes bancárias e de falsificação de documentos contra instituições financeiras particulares e pública,17/04/2026,17/04/2026,"[""Operação PF"", ""Fraudes"", ""Piauí""]",Teresina/PI.,Caronte II,crime_falsificacoes,Por crime,"[""falsificacoes"", ""crimes_ciberneticos_financeiros"", ""organizacao_criminosa""]","[""resgate_vitimas"", ""cumprimento_mandado"", ""busca_apreensao"", ""combate_financeiro""]",regex,0.95
pf-combate-esquema-de-fraudes-contra-o-sistema-previdenciario-em-mt-097a6e78.md,PF combate esquema de fraudes contra o sistema previdenciário em MT,"Operação Impostore desarticula esquema de fraudes, por meio do qual criminosos falsificavam documentos e realizavam perícias em nome de terceiros.",27/02/2021,24/01/2023,"[""Operação PF"", ""Polícia Federal"", ""Destaque""]",,Impostore,crime_fraude_previdenciaria,Por crime,"[""fraude_previdenciaria"", ""falsificacoes"", ""crimes_ciberneticos_financeiros"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""desarticulacao_rede""]",regex,0.95
pf-combate-esquema-de-fraudes-em-sistema-de-recursos-naturais-no-amapa-fd053b33.md,PF combate esquema de fraudes em sistema de recursos naturais no Amapá,"Operação Nó na Madeira investiga grupo formado por empresários do ramo madeireiro no Amapá, possui esquema criminoso para fraudar o Sistema de Emissão de Documento de Origem Florestal (SISDOF).",30/10/2020,09/11/2022,"[""Operação PF"", ""Destaque"", ""Amapá"", ""fraude em sistema federal"", ""SISDOF"", ""Polícia Federal""]",,No,crime_falsificacoes,Por crime,"[""falsificacoes"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede"", ""comercializacao""]",regex,0.945
pf-combate-esquema-de-fraudes-no-inss-em-goias-bea8a04a.md,PF combate esquema de fraudes no INSS em Goiás,Operação Pavrum desarticula esquema de fraudes na obtenção de aposentadorias por idade rural.,29/09/2020,10/11/2022,"[""Operação PF"", ""Goiás"", ""fraudes na concessão de benefícios previdenciários"", ""INSS"", ""aposentadoria rural por idade"", ""Destaque"", ""Polícia Federal""]",,Pavrum,crime_fraude_previdenciaria,Por crime,"[""fraude_previdenciaria"", ""crimes_ciberneticos_financeiros"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
pf-combate-esquema-de-monitoramento-ilegal-ligado-a-crimes-ambientais-no-para-2215959f.md,PF combate esquema de monitoramento ilegal ligado a crimes ambientais no Pará,"Operação Argos apura repasse de informações para madeireiros ilegais; uma pessoa foi presa temporariamente, e outra, em flagrante por tráfico de drogas",18/03/2026,18/03/2026,"[""Operação PF"", ""Crimes ambientais"", ""Pará""]",Altamira/PA.,Argos,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""crimes_ambientais""]","[""prisao"", ""busca_apreensao"", ""comercializacao""]",regex,0.95
pf-combate-esquema-de-tv-pirata-que-movimentou-mais-de-r-4-2-milhoes-27e793af.md,"PF combate esquema de TV pirata que movimentou mais de R$ 4,2 milhões","As diligências apontam, ainda, a atuação coordenada de uma rede em atividades ilícitas envolvendo mais de 250 pessoas físicas e/ou jurídicas",10/03/2026,10/03/2026,"[""Espírito Santo"", ""Operação PF"", ""Destaque""]",Vitória/ES.,Bucaneiros,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""roubo_furto"", ""ameaca"", ""violacao_direito_autoral"", ""organizacao_criminosa""]","[""busca_apreensao"", ""atuacao_online"", ""comercializacao""]",regex,0.95
pf-combate-esquema-de-venda-ilegal-de-mercurio-no-amazonas-5a8ef2c0.md,PF combate esquema de venda de mercúrio no Amazonas,Foi cumprido mandado de busca e apreensão para reprimir a prática de garimpo clandestino,11/10/2024,,"[""Operação PF"", ""Amazonas"", ""Garimpo ilegal""]",Manaus/AM.,Mercurio Conectado,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""contrabando_descaminho""]","[""busca_apreensao"", ""atuacao_online"", ""desarticulacao_rede"", ""comercializacao""]",regex,0.95
pf-combate-esquema-milionario-de-trafico-de-drogas-no-para-dba7731f.md,PF combate esquema milionário de tráfico de drogas no Pará,Operação Goblin: PF desarticula grupo criminoso que movimentou mais de R$ 80 mi em esquema de financiamento ao tráfico de drogas.,29/04/2021,25/01/2023,"[""Operação PF"", ""Polícia Federal"", ""Pará"", ""Destaque""]",Belém/PA,Goblin,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens"", ""desarticulacao_rede""]",regex,0.95
pf-combate-esquemas-de-fraudes-documentais-e-financeiras-em-teresina-pi-ce844789.md,PF faz operações contra fraudes documentais e financeiras em Teresina/PI,Operações Fraud II e Fraud III miram esquemas distintos de fraudes documentais e financeiras praticadas contra órgãos públicos federais,24/04/2026,24/04/2026,"[""Operação PF"", ""Fraudes"", ""Piauí""]",Teresina/PI.,Fraud II,crime_falsificacoes,Por crime,"[""falsificacoes"", ""crimes_ciberneticos_financeiros""]","[""busca_apreensao"", ""cooperacao_interagencias"", ""desarticulacao_rede""]",regex,0.95
pf-combate-estupro-de-vulneravel-e-pornografia-infantil-na-internet-5f60c845.md,PF combate estupro de vulnerável e pornografia infantil na internet,Operação Infância Resgatada II cumpre um mandado de busca e apreensão e um mandado de prisão preventiva,31/05/2022,03/02/2023,"[""Operação PF"", ""Polícia Federal"", ""Pernambuco"", ""Destaque""]",Recife/PE.,Infancia Resgatada II,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca"", ""crimes_ciberneticos_financeiros"", ""crimes_odio_discriminacao""]","[""busca_apreensao"", ""prisao"", ""atuacao_online""]",regex,0.95
pf-combate-evasao-de-divisas-na-fronteira-com-a-bolivia-3d8b9f07.md,PF combate evasão de divisas na fronteira com a Bolívia,Operação Hipócrates mira grupo que movimentou mais R$90 milhões provenientes dos crimes de tráfico de drogas e peculato,17/06/2020,23/01/2023,"[""Operação PF"", ""Destaque"", ""Evasão de divisas"", ""Organização Ciminosa""]",,Hipocrates,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""trafico_drogas"", ""lavagem_dinheiro"", ""organizacao_criminosa""]","[""prisao"", ""fronteira_transnacional"", ""desarticulacao_rede"", ""busca_apreensao"", ""bloqueio_bens"", ""cooperacao_interagencias""]",regex,0.95
pf-combate-exercicio-ilegal-de-seguranca-privada-no-rj-20cd4c7e.md,PF combate exercício ilegal de segurança privada no RJ,"Na ação, foram lavrados três autos de encerramento de atividades",01/12/2023,,"[""RJ"", ""PF"", ""Operação PF"", ""Exercício ilegal de segurança privada"", ""Encerramento de atividade"", ""Rio de Janeiro""]",Rio de Janeiro/RJ.,,crime_seguranca_privada_irregular,Por crime,"[""seguranca_privada_irregular""]",[],regex,0.95
pf-combate-exploracao-de-criancas-e-adolescentes-7e42928f.md,PF combate exploração de crianças e adolescentes,Duas operações foram deflagradas em Fortaleza/CE e Acaraú/CE,05/04/2023,,"[""Operação PF"", ""Ceará"", ""Exploração Infantil"", ""Internet""]",Fortaleza/CE.,,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""atuacao_online"", ""busca_apreensao""]",regex,0.935
pf-combate-exploracao-de-garimpos-ilegais-em-terra-indigena-ianomami-73085425.md,PF combate exploração de garimpos ilegais em terra indígena Ianomâmi,PF investiga esquema criminoso de exploração de minérios em terras indígenas em Roraima.,29/09/2020,10/11/2022,"[""Operação PF"", ""Destaque"", ""Roraima"", ""exploração de minérios"", ""garimpo ilegal"", ""terras indígenas"", ""Ianomâmis"", ""Polícia Federal""]",,,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
